EventName,Condition,MeanPitTime,MedianPitTime,StdPitTime,MeanEffLoss,MedianEffLoss,StdEffLoss,Count
Monaco Grand Prix,VSC,34.07999999999993,30.90099999999984,12.329704159738164,24.283865922817967,22.018654368573817,8.785589280607192,4
Qatar Grand Prix,Normal,29.7601829268293,28.65650000000005,3.5015588455488036,29.7601829268293,28.65650000000005,3.5015588455488036,82
Qatar Grand Prix,SC,29.269643835616467,28.90599999999995,4.4810905833099595,18.311579826274752,18.06310392885773,2.787515518599441,73
Saudi Arabian Grand Prix,Normal,22.658272727272767,21.15599999999995,4.943879943126217,22.658272727272767,21.15599999999995,4.943879943126217,33
Saudi Arabian Grand Prix,SC,21.816107142857213,21.432999999999993,1.2718198783278596,15.400070869448191,14.696262006059616,2.2804478711103733,28
Singapore Grand Prix,Normal,27.698200000000014,29.107500000000073,2.8872530550822013,27.698200000000014,29.107500000000073,2.8872530550822013,50
Singapore Grand Prix,SC,31.140428571428533,30.663499999999658,1.7487524218615498,21.981279381472266,21.64462697639897,1.2344022647534676,14
Singapore Grand Prix,VSC,34.991833333332885,31.98400000000038,8.756959481844273,26.13993177275118,23.89299154049357,6.541707066662949,6
Spanish Grand Prix,Normal,22.934880000000014,22.3100000000004,2.359275885356787,22.934880000000014,22.3100000000004,2.359275885356787,125
Spanish Grand Prix,SC,22.461999999999925,22.367999999999938,0.548387566486439,15.315635692830591,15.251542123463398,0.3739161333266963,14
São Paulo Grand Prix,Normal,24.756070422535206,23.73199999999997,3.0750851942852515,24.756070422535206,23.73199999999997,3.0750851942852515,71
São Paulo Grand Prix,SC,23.22838888888883,20.953500000000076,5.9110507788766204,13.028168255189719,11.07790955830319,4.526589308986066,18
São Paulo Grand Prix,VSC,28.54946666666674,25.653000000000247,8.934130878399992,20.72375715290938,18.54501869542202,6.412765284287253,15
United States Grand Prix,Normal,24.515243589743584,24.24900000000025,1.0332827674725387,24.515243589743584,24.24900000000025,1.0332827674725387,78
United States Grand Prix,SC,34.92000000000007,34.92000000000007,,23.454612098737332,23.454612098737332,,1
United States Grand Prix,VSC,23.766999999999825,23.766999999999825,,17.618868951164828,17.618868951164828,,1
